,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
2,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
3,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
4,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
5,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
6,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
7,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
8,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
9,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
10,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
11,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
12,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
13,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
14,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
15,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
16,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
17,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
18,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
19,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
20,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
21,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
22,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
23,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
24,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
25,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
26,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
27,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
28,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
29,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
30,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
31,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012,4012
