,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
2,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
3,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
4,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
5,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
6,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
7,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
8,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
9,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
10,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
11,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
12,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
13,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
14,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
15,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
16,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
17,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
18,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
19,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
20,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
21,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
22,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
23,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
24,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
25,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
26,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
27,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
28,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
29,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
30,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
31,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
